datetime,symbol,open,high,low,close,volume
2021-07-23 09:45:00,NSE:TATASTEEL,1282.6,1283.5,1278.05,1279.05,
2021-07-26 03:45:00,NSE:TATASTEEL,1289.8,1292.8,1278.05,1283.25,1795450.0
2021-07-26 04:45:00,NSE:TATASTEEL,1283.25,1289.45,1283.15,1288.0,677181.0
2021-07-26 05:45:00,NSE:TATASTEEL,1288.0,1289.0,1283.4,1287.35,636115.0
2021-07-26 06:45:00,NSE:TATASTEEL,1287.3,1308.25,1286.5,1302.95,3033343.0
2021-07-26 07:45:00,NSE:TATASTEEL,1302.5,1307.0,1300.0,1302.8,846302.0
2021-07-26 08:45:00,NSE:TATASTEEL,1303.0,1306.65,1293.7,1298.0,1216182.0
2021-07-26 09:45:00,NSE:TATASTEEL,1297.8,1298.95,1296.0,1296.95,445808.0
2021-07-27 03:45:00,NSE:TATASTEEL,1310.6,1324.9,1308.05,1323.75,2844482.0
2021-07-27 04:45:00,NSE:TATASTEEL,1323.7,1328.75,1322.5,1326.05,1315640.0
2021-07-27 05:45:00,NSE:TATASTEEL,1326.05,1329.7,1324.35,1325.2,833575.0
2021-07-27 06:45:00,NSE:TATASTEEL,1325.2,1327.35,1310.85,1312.45,1719850.0
2021-07-27 07:45:00,NSE:TATASTEEL,1312.45,1326.55,1311.5,1322.3,1402165.0
2021-07-27 08:45:00,NSE:TATASTEEL,1322.3,1333.7,1321.05,1332.0,1410008.0
2021-07-27 09:45:00,NSE:TATASTEEL,1332.1,1334.5,1330.25,1333.5,742651.0
2021-07-28 03:45:00,NSE:TATASTEEL,1330.9,1338.8,1318.75,1327.5,2895260.0
2021-07-28 04:45:00,NSE:TATASTEEL,1327.0,1327.85,1306.2,1316.5,1622105.0
2021-07-28 05:45:00,NSE:TATASTEEL,1316.6,1327.95,1315.05,1327.5,1027942.0
2021-07-28 06:45:00,NSE:TATASTEEL,1327.5,1339.85,1327.0,1338.7,1645565.0
2021-07-28 07:45:00,NSE:TATASTEEL,1338.7,1347.95,1337.45,1345.55,1964294.0
2021-07-28 08:45:00,NSE:TATASTEEL,1345.75,1369.0,1340.3,1368.15,2636089.0
2021-07-28 09:45:00,NSE:TATASTEEL,1368.0,1369.95,1364.5,1368.45,1007735.0
2021-07-29 03:45:00,NSE:TATASTEEL,1372.25,1394.0,1368.0,1393.7,3734294.0
2021-07-29 04:45:00,NSE:TATASTEEL,1393.85,1424.75,1393.55,1421.8,5736836.0
2021-07-29 05:45:00,NSE:TATASTEEL,1421.8,1451.75,1421.6,1439.1,5659721.0
2021-07-29 06:45:00,NSE:TATASTEEL,1439.1,1445.0,1434.15,1439.6,2316010.0
2021-07-29 07:45:00,NSE:TATASTEEL,1439.7,1481.8,1436.2,1454.65,7083406.0
2021-07-29 08:45:00,NSE:TATASTEEL,1455.75,1464.6,1446.0,1457.6,4219129.0
2021-07-29 09:45:00,NSE:TATASTEEL,1457.1,1460.9,1453.25,1458.0,1267823.0
2021-07-30 03:45:00,NSE:TATASTEEL,1455.0,1467.6,1436.7,1455.8,4802369.0
2021-07-30 04:45:00,NSE:TATASTEEL,1455.15,1456.35,1441.2,1446.8,1635715.0
2021-07-30 05:45:00,NSE:TATASTEEL,1447.0,1457.0,1445.05,1453.5,942162.0
2021-07-30 06:45:00,NSE:TATASTEEL,1453.4,1453.85,1445.5,1448.5,743386.0
2021-07-30 07:45:00,NSE:TATASTEEL,1448.6,1472.7,1446.3,1456.95,2229807.0
2021-07-30 08:45:00,NSE:TATASTEEL,1456.55,1458.35,1427.8,1434.55,2948996.0
2021-07-30 09:45:00,NSE:TATASTEEL,1434.6,1437.95,1433.35,1435.25,695929.0
2021-08-02 03:45:00,NSE:TATASTEEL,1437.35,1447.0,1417.6,1418.75,2740484.0
2021-08-02 04:45:00,NSE:TATASTEEL,1418.55,1423.8,1405.5,1421.75,2279826.0
2021-08-02 05:45:00,NSE:TATASTEEL,1421.45,1423.5,1413.0,1418.65,835184.0
2021-08-02 06:45:00,NSE:TATASTEEL,1419.0,1421.55,1411.55,1413.75,759533.0
2021-08-02 07:45:00,NSE:TATASTEEL,1413.8,1416.8,1409.45,1412.4,737360.0
2021-08-02 08:45:00,NSE:TATASTEEL,1412.4,1425.25,1406.3,1410.5,1770465.0
2021-08-02 09:45:00,NSE:TATASTEEL,1410.4,1414.0,1408.0,1413.5,600564.0
2021-08-03 03:45:00,NSE:TATASTEEL,1413.5,1413.5,1395.2,1398.8,2259829.0
2021-08-03 04:45:00,NSE:TATASTEEL,1399.0,1405.0,1390.35,1396.5,1409756.0
2021-08-03 05:45:00,NSE:TATASTEEL,1396.5,1400.9,1395.6,1398.55,486470.0
2021-08-03 06:45:00,NSE:TATASTEEL,1398.8,1420.85,1398.1,1410.85,1813270.0
2021-08-03 07:45:00,NSE:TATASTEEL,1411.0,1416.55,1405.0,1408.9,1074789.0
2021-08-03 08:45:00,NSE:TATASTEEL,1408.9,1411.4,1405.0,1405.5,1025603.0
2021-08-03 09:45:00,NSE:TATASTEEL,1405.6,1409.5,1405.6,1407.25,534287.0
2021-08-04 03:45:00,NSE:TATASTEEL,1419.95,1448.0,1418.0,1432.95,4113489.0
2021-08-04 04:45:00,NSE:TATASTEEL,1432.7,1436.8,1428.0,1429.6,1088255.0
2021-08-04 05:45:00,NSE:TATASTEEL,1429.5,1430.15,1416.5,1428.95,1538337.0
2021-08-04 06:45:00,NSE:TATASTEEL,1428.95,1429.0,1405.1,1413.85,1593838.0
2021-08-04 07:45:00,NSE:TATASTEEL,1414.15,1419.55,1410.1,1416.0,1155603.0
2021-08-04 08:45:00,NSE:TATASTEEL,1415.9,1421.0,1410.5,1415.5,1131391.0
2021-08-04 09:45:00,NSE:TATASTEEL,1415.75,1417.5,1413.1,1417.0,636038.0
2021-08-05 03:45:00,NSE:TATASTEEL,1418.85,1420.0,1391.65,1395.85,3329873.0
2021-08-05 04:45:00,NSE:TATASTEEL,1395.5,1406.0,1387.5,1401.35,1996114.0
2021-08-05 05:45:00,NSE:TATASTEEL,1402.0,1416.15,1396.85,1412.75,1171312.0
2021-08-05 06:45:00,NSE:TATASTEEL,1412.35,1429.0,1411.1,1412.0,2934201.0
2021-08-05 07:45:00,NSE:TATASTEEL,1412.4,1426.6,1405.35,1422.95,1593746.0
2021-08-05 08:45:00,NSE:TATASTEEL,1423.1,1450.0,1418.25,1445.45,4317841.0
2021-08-05 09:45:00,NSE:TATASTEEL,1445.75,1450.0,1445.3,1448.95,849789.0
2021-08-06 03:45:00,NSE:TATASTEEL,1447.9,1457.0,1430.05,1433.5,3479708.0
2021-08-06 04:45:00,NSE:TATASTEEL,1433.75,1441.0,1428.7,1440.2,1132873.0
2021-08-06 05:45:00,NSE:TATASTEEL,1439.7,1450.3,1439.55,1449.8,1264669.0
2021-08-06 06:45:00,NSE:TATASTEEL,1449.8,1452.85,1435.4,1442.3,992478.0
2021-08-06 07:45:00,NSE:TATASTEEL,1441.95,1442.65,1432.0,1433.0,643145.0
2021-08-06 08:45:00,NSE:TATASTEEL,1431.2,1445.55,1426.0,1428.3,1503181.0
2021-08-06 09:45:00,NSE:TATASTEEL,1428.3,1430.9,1426.0,1428.0,609789.0
2021-08-09 03:45:00,NSE:TATASTEEL,1433.5,1438.0,1417.0,1422.65,1979024.0
2021-08-09 04:45:00,NSE:TATASTEEL,1422.55,1443.25,1421.65,1434.0,1335647.0
2021-08-09 05:45:00,NSE:TATASTEEL,1434.0,1435.3,1424.0,1427.0,750161.0
2021-08-09 06:45:00,NSE:TATASTEEL,1427.0,1427.05,1416.1,1421.5,891126.0
2021-08-09 07:45:00,NSE:TATASTEEL,1421.95,1422.55,1406.4,1413.9,1075441.0
2021-08-09 08:45:00,NSE:TATASTEEL,1413.9,1419.8,1405.4,1414.45,1324754.0
2021-08-09 09:45:00,NSE:TATASTEEL,1414.25,1416.75,1408.05,1408.5,489685.0
2021-08-10 03:45:00,NSE:TATASTEEL,1411.0,1418.0,1404.8,1411.7,1748327.0
2021-08-10 04:45:00,NSE:TATASTEEL,1411.6,1417.15,1407.25,1410.55,709594.0
2021-08-10 05:45:00,NSE:TATASTEEL,1410.3,1415.9,1408.0,1410.35,532773.0
