datetime,symbol,open,high,low,close,volume,SMA20,SMA50
2021-06-29 19:00:00,NASDAQ:AAPL,134.8,136.49,134.35,136.33,64556081.0,,
2021-06-30 19:00:00,NASDAQ:AAPL,136.17,137.41,135.87,136.96,63261393.0,,
2021-07-01 19:00:00,NASDAQ:AAPL,136.6,137.33,135.76,137.27,52485781.0,,
2021-07-02 19:00:00,NASDAQ:AAPL,137.9,140.0,137.745,139.96,78945572.0,,
2021-07-06 19:00:00,NASDAQ:AAPL,140.07,143.15,140.07,142.02,108181793.0,,
2021-07-07 19:00:00,NASDAQ:AAPL,143.535,144.89,142.66,144.57,104911589.0,,
2021-07-08 19:00:00,NASDAQ:AAPL,141.58,144.06,140.665,143.24,105575458.0,,
2021-07-09 19:00:00,NASDAQ:AAPL,142.75,145.65,142.6522,145.11,99890800.0,,
2021-07-12 19:00:00,NASDAQ:AAPL,146.21,146.32,144.0,144.5,76299719.0,,
2021-07-13 19:00:00,NASDAQ:AAPL,144.03,147.46,143.63,145.64,100827099.0,,
2021-07-14 19:00:00,NASDAQ:AAPL,148.1,149.57,147.68,149.15,127050785.0,,
2021-07-15 19:00:00,NASDAQ:AAPL,149.24,150.0,147.09,148.48,106820297.0,,
2021-07-16 19:00:00,NASDAQ:AAPL,148.46,149.76,145.88,146.39,93251426.0,,
2021-07-19 19:00:00,NASDAQ:AAPL,143.75,144.07,141.67,142.45,121434571.0,,
2021-07-20 19:00:00,NASDAQ:AAPL,143.46,147.0997,142.96,146.15,96350036.0,,
2021-07-21 19:00:00,NASDAQ:AAPL,145.53,146.13,144.63,145.4,74993460.0,,
2021-07-22 19:00:00,NASDAQ:AAPL,145.935,148.195,145.81,146.8,77338156.0,,
2021-07-23 19:00:00,NASDAQ:AAPL,147.55,148.7177,146.92,148.56,71447416.0,,
2021-07-26 19:00:00,NASDAQ:AAPL,148.27,149.83,147.7,148.99,72434089.0,,
2021-07-27 19:00:00,NASDAQ:AAPL,149.12,149.21,145.55,146.77,104818578.0,144.23700000000002,
2021-07-28 19:00:00,NASDAQ:AAPL,144.81,146.97,142.54,144.98,118931191.0,144.66950000000003,
2021-07-29 19:00:00,NASDAQ:AAPL,144.685,146.55,144.58,145.64,56699475.0,145.1035,
2021-07-30 19:00:00,NASDAQ:AAPL,144.38,146.33,144.11,145.86,70440626.0,145.53300000000002,
2021-08-02 19:00:00,NASDAQ:AAPL,146.36,146.95,145.25,145.52,62879961.0,145.811,
2021-08-03 19:00:00,NASDAQ:AAPL,145.81,148.045,145.18,147.36,64786618.0,146.078,
2021-08-04 19:00:00,NASDAQ:AAPL,147.27,147.79,146.28,146.95,56368271.0,146.197,
2021-08-05 19:00:00,NASDAQ:AAPL,146.98,147.84,146.17,147.06,46397674.0,146.388,
2021-08-06 19:00:00,NASDAQ:AAPL,146.35,147.11,145.63,146.14,54126813.0,146.4395,
2021-08-09 19:00:00,NASDAQ:AAPL,146.2,146.7,145.52,146.09,48908689.0,146.519,
2021-08-10 19:00:00,NASDAQ:AAPL,146.44,147.71,145.3,145.6,69023081.0,146.517,
2021-08-11 19:00:00,NASDAQ:AAPL,146.05,146.72,145.53,145.86,48493463.0,146.35250000000002,
2021-08-12 19:00:00,NASDAQ:AAPL,146.19,149.05,145.84,148.89,73779113.0,146.373,
2021-08-13 19:00:00,NASDAQ:AAPL,148.97,149.4444,148.27,149.1,59375009.0,146.5085,
2021-08-16 19:00:00,NASDAQ:AAPL,148.535,151.19,146.47,151.12,103558782.0,146.94199999999998,
2021-08-17 19:00:00,NASDAQ:AAPL,150.23,151.68,149.09,150.19,92229735.0,147.14399999999998,
2021-08-18 19:00:00,NASDAQ:AAPL,149.8,150.72,146.15,146.36,86325990.0,147.192,
2021-08-19 19:00:00,NASDAQ:AAPL,145.03,148.0,144.5,146.7,86960310.0,147.18699999999998,
